Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070339,2018,01,01,30.0,1,Y
IDCJAC0010,070339,2018,01,02,29.6,1,Y
IDCJAC0010,070339,2018,01,03,26.4,1,Y
IDCJAC0010,070339,2018,01,04,29.6,1,Y
IDCJAC0010,070339,2018,01,05,33.3,1,Y
IDCJAC0010,070339,2018,01,06,36.5,1,Y
IDCJAC0010,070339,2018,01,07,39.4,1,Y
IDCJAC0010,070339,2018,01,08,31.4,1,Y
IDCJAC0010,070339,2018,01,09,30.7,1,Y
IDCJAC0010,070339,2018,01,10,26.3,1,Y
IDCJAC0010,070339,2018,01,11,31.5,1,Y
IDCJAC0010,070339,2018,01,12,34.0,1,Y
IDCJAC0010,070339,2018,01,13,24.2,1,Y
IDCJAC0010,070339,2018,01,14,20.8,1,Y
IDCJAC0010,070339,2018,01,15,25.9,1,Y
IDCJAC0010,070339,2018,01,16,24.8,1,Y
IDCJAC0010,070339,2018,01,17,29.7,1,Y
IDCJAC0010,070339,2018,01,18,33.9,1,Y
IDCJAC0010,070339,2018,01,19,37.9,1,Y
IDCJAC0010,070339,2018,01,20,38.8,1,Y
IDCJAC0010,070339,2018,01,21,38.3,1,Y
IDCJAC0010,070339,2018,01,22,34.4,1,Y
IDCJAC0010,070339,2018,01,23,36.3,1,Y
IDCJAC0010,070339,2018,01,24,26.2,1,Y
IDCJAC0010,070339,2018,01,25,31.0,1,Y
IDCJAC0010,070339,2018,01,26,32.4,1,Y
IDCJAC0010,070339,2018,01,27,29.3,1,Y
IDCJAC0010,070339,2018,01,28,30.4,1,Y
IDCJAC0010,070339,2018,01,29,32.8,1,Y
IDCJAC0010,070339,2018,01,30,31.3,1,Y
IDCJAC0010,070339,2018,01,31,23.7,1,Y
IDCJAC0010,070339,2018,02,01,21.7,1,N
IDCJAC0010,070339,2018,02,02,25.6,1,N
IDCJAC0010,070339,2018,02,03,24.1,1,N
IDCJAC0010,070339,2018,02,04,28.3,1,N
IDCJAC0010,070339,2018,02,05,30.6,1,N
IDCJAC0010,070339,2018,02,06,27.1,1,N
IDCJAC0010,070339,2018,02,07,,,
IDCJAC0010,070339,2018,02,08,34.7,1,N
IDCJAC0010,070339,2018,02,09,35.9,1,N
IDCJAC0010,070339,2018,02,10,34.2,1,N
IDCJAC0010,070339,2018,02,11,31.7,1,N
IDCJAC0010,070339,2018,02,12,29.4,1,N
IDCJAC0010,070339,2018,02,13,30.4,1,N
IDCJAC0010,070339,2018,02,14,31.8,1,N
IDCJAC0010,070339,2018,02,15,29.2,1,N
IDCJAC0010,070339,2018,02,16,29.4,1,N
IDCJAC0010,070339,2018,02,17,31.0,1,N
IDCJAC0010,070339,2018,02,18,33.7,1,N
IDCJAC0010,070339,2018,02,19,23.4,1,N
IDCJAC0010,070339,2018,02,20,21.9,1,N
IDCJAC0010,070339,2018,02,21,25.5,1,N
IDCJAC0010,070339,2018,02,22,27.4,1,N
IDCJAC0010,070339,2018,02,23,31.5,1,N
IDCJAC0010,070339,2018,02,24,33.4,1,N
IDCJAC0010,070339,2018,02,25,16.4,1,N
IDCJAC0010,070339,2018,02,26,21.4,1,N
IDCJAC0010,070339,2018,02,27,25.6,1,N
IDCJAC0010,070339,2018,02,28,30.1,1,N
IDCJAC0010,070339,2018,03,01,26.9,1,Y
IDCJAC0010,070339,2018,03,02,25.2,1,Y
IDCJAC0010,070339,2018,03,03,31.0,1,Y
IDCJAC0010,070339,2018,03,04,30.6,1,Y
IDCJAC0010,070339,2018,03,05,24.7,1,Y
IDCJAC0010,070339,2018,03,06,21.9,1,Y
IDCJAC0010,070339,2018,03,07,23.4,1,Y
IDCJAC0010,070339,2018,03,08,25.9,1,Y
IDCJAC0010,070339,2018,03,09,26.6,1,Y
IDCJAC0010,070339,2018,03,10,27.6,1,Y
IDCJAC0010,070339,2018,03,11,31.6,1,Y
IDCJAC0010,070339,2018,03,12,30.3,1,Y
IDCJAC0010,070339,2018,03,13,22.1,1,Y
IDCJAC0010,070339,2018,03,14,27.4,1,Y
IDCJAC0010,070339,2018,03,15,28.8,1,Y
IDCJAC0010,070339,2018,03,16,26.6,1,Y
IDCJAC0010,070339,2018,03,17,30.0,1,Y
IDCJAC0010,070339,2018,03,18,33.3,1,Y
IDCJAC0010,070339,2018,03,19,28.2,1,Y
IDCJAC0010,070339,2018,03,20,25.6,1,Y
IDCJAC0010,070339,2018,03,21,18.5,1,Y
IDCJAC0010,070339,2018,03,22,19.3,1,Y
IDCJAC0010,070339,2018,03,23,21.4,1,Y
IDCJAC0010,070339,2018,03,24,25.7,1,Y
IDCJAC0010,070339,2018,03,25,24.5,1,Y
IDCJAC0010,070339,2018,03,26,18.4,1,Y
IDCJAC0010,070339,2018,03,27,22.8,1,Y
IDCJAC0010,070339,2018,03,28,29.7,1,Y
IDCJAC0010,070339,2018,03,29,31.3,1,Y
IDCJAC0010,070339,2018,03,30,30.4,1,Y
IDCJAC0010,070339,2018,03,31,27.0,1,Y
IDCJAC0010,070339,2018,04,01,28.7,1,Y
IDCJAC0010,070339,2018,04,02,30.4,1,Y
IDCJAC0010,070339,2018,04,03,24.5,1,Y
IDCJAC0010,070339,2018,04,04,27.3,1,Y
IDCJAC0010,070339,2018,04,05,28.8,1,Y
IDCJAC0010,070339,2018,04,06,29.5,1,Y
IDCJAC0010,070339,2018,04,07,29.2,1,Y
IDCJAC0010,070339,2018,04,08,29.4,1,Y
IDCJAC0010,070339,2018,04,09,30.8,1,Y
IDCJAC0010,070339,2018,04,10,25.8,1,Y
IDCJAC0010,070339,2018,04,11,31.6,1,Y
IDCJAC0010,070339,2018,04,12,30.4,1,Y
IDCJAC0010,070339,2018,04,13,27.8,1,Y
IDCJAC0010,070339,2018,04,14,19.5,1,Y
IDCJAC0010,070339,2018,04,15,17.7,1,Y
IDCJAC0010,070339,2018,04,16,19.2,1,Y
IDCJAC0010,070339,2018,04,17,23.3,1,Y
IDCJAC0010,070339,2018,04,18,21.3,1,Y
IDCJAC0010,070339,2018,04,19,25.1,1,Y
IDCJAC0010,070339,2018,04,20,25.2,1,Y
IDCJAC0010,070339,2018,04,21,23.3,1,Y
IDCJAC0010,070339,2018,04,22,18.2,1,Y
IDCJAC0010,070339,2018,04,23,23.9,1,Y
IDCJAC0010,070339,2018,04,24,25.9,1,Y
IDCJAC0010,070339,2018,04,25,27.0,1,Y
IDCJAC0010,070339,2018,04,26,24.2,1,Y
IDCJAC0010,070339,2018,04,27,19.5,1,Y
IDCJAC0010,070339,2018,04,28,20.7,1,Y
