Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040842,2008,01,01,26.6,1,Y
IDCJAC0010,040842,2008,01,02,26.9,1,Y
IDCJAC0010,040842,2008,01,03,25.2,1,Y
IDCJAC0010,040842,2008,01,04,25.8,1,Y
IDCJAC0010,040842,2008,01,05,29.0,1,Y
IDCJAC0010,040842,2008,01,06,29.9,1,Y
IDCJAC0010,040842,2008,01,07,29.9,1,Y
IDCJAC0010,040842,2008,01,08,29.7,1,Y
IDCJAC0010,040842,2008,01,09,27.6,1,Y
IDCJAC0010,040842,2008,01,10,26.5,1,Y
IDCJAC0010,040842,2008,01,11,26.3,1,Y
IDCJAC0010,040842,2008,01,12,28.1,1,Y
IDCJAC0010,040842,2008,01,13,29.3,1,Y
IDCJAC0010,040842,2008,01,14,30.2,1,Y
IDCJAC0010,040842,2008,01,15,26.3,1,Y
IDCJAC0010,040842,2008,01,16,28.1,1,Y
IDCJAC0010,040842,2008,01,17,27.2,1,Y
IDCJAC0010,040842,2008,01,18,27.8,1,Y
IDCJAC0010,040842,2008,01,19,28.4,1,Y
IDCJAC0010,040842,2008,01,20,28.8,1,Y
IDCJAC0010,040842,2008,01,21,30.2,1,Y
IDCJAC0010,040842,2008,01,22,27.9,1,Y
IDCJAC0010,040842,2008,01,23,28.0,1,Y
IDCJAC0010,040842,2008,01,24,28.3,1,Y
IDCJAC0010,040842,2008,01,25,28.7,1,Y
IDCJAC0010,040842,2008,01,26,28.6,1,Y
IDCJAC0010,040842,2008,01,27,29.3,1,Y
IDCJAC0010,040842,2008,01,28,30.0,1,Y
IDCJAC0010,040842,2008,01,29,29.0,1,Y
IDCJAC0010,040842,2008,01,30,28.3,1,Y
IDCJAC0010,040842,2008,01,31,28.8,1,Y
IDCJAC0010,040842,2008,02,01,28.7,1,Y
IDCJAC0010,040842,2008,02,02,29.6,1,Y
IDCJAC0010,040842,2008,02,03,28.1,1,Y
IDCJAC0010,040842,2008,02,04,28.0,1,Y
IDCJAC0010,040842,2008,02,05,26.9,1,Y
IDCJAC0010,040842,2008,02,06,28.5,1,Y
IDCJAC0010,040842,2008,02,07,32.3,1,Y
IDCJAC0010,040842,2008,02,08,28.4,1,Y
IDCJAC0010,040842,2008,02,09,29.8,1,Y
IDCJAC0010,040842,2008,02,10,27.2,1,Y
IDCJAC0010,040842,2008,02,11,27.4,1,Y
IDCJAC0010,040842,2008,02,12,27.1,1,Y
IDCJAC0010,040842,2008,02,13,30.4,1,Y
IDCJAC0010,040842,2008,02,14,27.4,1,Y
IDCJAC0010,040842,2008,02,15,27.3,1,Y
IDCJAC0010,040842,2008,02,16,25.9,1,Y
IDCJAC0010,040842,2008,02,17,26.8,1,Y
IDCJAC0010,040842,2008,02,18,26.3,1,Y
IDCJAC0010,040842,2008,02,19,26.8,1,Y
IDCJAC0010,040842,2008,02,20,29.2,1,Y
IDCJAC0010,040842,2008,02,21,30.6,1,Y
IDCJAC0010,040842,2008,02,22,31.0,1,Y
IDCJAC0010,040842,2008,02,23,39.8,1,Y
IDCJAC0010,040842,2008,02,24,28.6,1,Y
IDCJAC0010,040842,2008,02,25,25.7,1,Y
IDCJAC0010,040842,2008,02,26,24.6,1,Y
IDCJAC0010,040842,2008,02,27,26.6,1,Y
IDCJAC0010,040842,2008,02,28,28.3,1,Y
IDCJAC0010,040842,2008,02,29,25.0,1,Y
IDCJAC0010,040842,2008,03,01,25.4,1,Y
IDCJAC0010,040842,2008,03,02,25.7,1,Y
IDCJAC0010,040842,2008,03,03,26.2,1,Y
