Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086038,2018,01,01,26.6,1,Y
IDCJAC0010,086038,2018,01,02,23.0,1,Y
IDCJAC0010,086038,2018,01,03,22.5,1,Y
IDCJAC0010,086038,2018,01,04,24.9,1,Y
IDCJAC0010,086038,2018,01,05,30.5,1,Y
IDCJAC0010,086038,2018,01,06,41.9,1,Y
IDCJAC0010,086038,2018,01,07,21.5,1,Y
IDCJAC0010,086038,2018,01,08,24.1,1,Y
IDCJAC0010,086038,2018,01,09,23.8,1,Y
IDCJAC0010,086038,2018,01,10,26.6,1,Y
IDCJAC0010,086038,2018,01,11,35.3,1,Y
IDCJAC0010,086038,2018,01,12,30.6,1,Y
IDCJAC0010,086038,2018,01,13,23.6,1,Y
IDCJAC0010,086038,2018,01,14,20.1,1,Y
IDCJAC0010,086038,2018,01,15,21.8,1,Y
IDCJAC0010,086038,2018,01,16,27.0,1,Y
IDCJAC0010,086038,2018,01,17,31.9,1,Y
IDCJAC0010,086038,2018,01,18,40.1,1,Y
IDCJAC0010,086038,2018,01,19,42.5,1,Y
IDCJAC0010,086038,2018,01,20,26.1,1,Y
IDCJAC0010,086038,2018,01,21,30.0,1,Y
IDCJAC0010,086038,2018,01,22,26.7,1,Y
IDCJAC0010,086038,2018,01,23,24.7,1,Y
IDCJAC0010,086038,2018,01,24,25.3,1,Y
IDCJAC0010,086038,2018,01,25,29.4,1,Y
IDCJAC0010,086038,2018,01,26,31.3,1,Y
IDCJAC0010,086038,2018,01,27,34.0,1,Y
IDCJAC0010,086038,2018,01,28,39.1,1,Y
IDCJAC0010,086038,2018,01,29,35.3,1,Y
IDCJAC0010,086038,2018,01,30,21.3,1,Y
IDCJAC0010,086038,2018,01,31,19.4,1,Y
IDCJAC0010,086038,2018,02,01,22.5,1,Y
IDCJAC0010,086038,2018,02,02,23.2,1,Y
IDCJAC0010,086038,2018,02,03,28.3,1,Y
IDCJAC0010,086038,2018,02,04,27.9,1,Y
IDCJAC0010,086038,2018,02,05,27.7,1,Y
IDCJAC0010,086038,2018,02,06,30.5,1,Y
IDCJAC0010,086038,2018,02,07,37.8,1,Y
IDCJAC0010,086038,2018,02,08,29.2,1,Y
IDCJAC0010,086038,2018,02,09,27.2,1,Y
IDCJAC0010,086038,2018,02,10,30.7,1,Y
IDCJAC0010,086038,2018,02,11,22.2,1,Y
IDCJAC0010,086038,2018,02,12,23.8,1,Y
IDCJAC0010,086038,2018,02,13,30.2,1,Y
IDCJAC0010,086038,2018,02,14,24.9,1,Y
IDCJAC0010,086038,2018,02,15,24.6,1,Y
IDCJAC0010,086038,2018,02,16,22.9,1,Y
IDCJAC0010,086038,2018,02,17,26.6,1,Y
IDCJAC0010,086038,2018,02,18,26.7,1,Y
IDCJAC0010,086038,2018,02,19,26.9,1,Y
IDCJAC0010,086038,2018,02,20,29.7,1,Y
IDCJAC0010,086038,2018,02,21,30.2,1,Y
IDCJAC0010,086038,2018,02,22,30.6,1,Y
IDCJAC0010,086038,2018,02,23,34.1,1,Y
IDCJAC0010,086038,2018,02,24,33.4,1,Y
IDCJAC0010,086038,2018,02,25,20.0,1,Y
IDCJAC0010,086038,2018,02,26,26.9,1,Y
IDCJAC0010,086038,2018,02,27,32.2,1,Y
