Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023090,2008,04,07,27.6,1,Y
IDCJAC0010,023090,2008,04,08,29.5,1,Y
IDCJAC0010,023090,2008,04,09,30.6,1,Y
IDCJAC0010,023090,2008,04,10,25.5,1,Y
IDCJAC0010,023090,2008,04,11,19.8,1,Y
IDCJAC0010,023090,2008,04,12,20.1,1,Y
IDCJAC0010,023090,2008,04,13,18.1,1,Y
IDCJAC0010,023090,2008,04,14,20.6,1,Y
IDCJAC0010,023090,2008,04,15,21.9,1,Y
IDCJAC0010,023090,2008,04,16,23.5,1,Y
IDCJAC0010,023090,2008,04,17,22.8,1,Y
IDCJAC0010,023090,2008,04,18,24.3,1,Y
IDCJAC0010,023090,2008,04,19,27.7,1,Y
IDCJAC0010,023090,2008,04,20,26.8,1,Y
IDCJAC0010,023090,2008,04,21,25.3,1,Y
IDCJAC0010,023090,2008,04,22,24.9,1,Y
IDCJAC0010,023090,2008,04,23,26.5,1,Y
IDCJAC0010,023090,2008,04,24,27.7,1,Y
IDCJAC0010,023090,2008,04,25,19.9,1,Y
IDCJAC0010,023090,2008,04,26,16.3,1,Y
IDCJAC0010,023090,2008,04,27,14.6,1,Y
IDCJAC0010,023090,2008,04,28,16.8,1,Y
IDCJAC0010,023090,2008,04,29,18.6,1,Y
IDCJAC0010,023090,2008,04,30,16.5,1,Y
IDCJAC0010,023090,2008,05,01,19.4,1,Y
IDCJAC0010,023090,2008,05,02,18.5,1,Y
IDCJAC0010,023090,2008,05,03,19.4,1,Y
IDCJAC0010,023090,2008,05,04,23.1,1,Y
IDCJAC0010,023090,2008,05,05,19.8,1,Y
IDCJAC0010,023090,2008,05,06,18.9,1,Y
IDCJAC0010,023090,2008,05,07,19.0,1,Y
IDCJAC0010,023090,2008,05,08,20.0,1,Y
IDCJAC0010,023090,2008,05,09,19.8,1,Y
IDCJAC0010,023090,2008,05,10,20.2,1,Y
IDCJAC0010,023090,2008,05,11,21.2,1,Y
IDCJAC0010,023090,2008,05,12,22.6,1,Y
IDCJAC0010,023090,2008,05,13,23.8,1,Y
IDCJAC0010,023090,2008,05,14,25.0,1,Y
IDCJAC0010,023090,2008,05,15,23.2,1,Y
IDCJAC0010,023090,2008,05,16,14.8,1,Y
IDCJAC0010,023090,2008,05,17,14.7,1,Y
IDCJAC0010,023090,2008,05,18,17.4,1,Y
IDCJAC0010,023090,2008,05,19,17.7,1,Y
IDCJAC0010,023090,2008,05,20,17.7,1,Y
IDCJAC0010,023090,2008,05,21,17.9,1,Y
IDCJAC0010,023090,2008,05,22,18.4,1,Y
IDCJAC0010,023090,2008,05,23,19.0,1,Y
IDCJAC0010,023090,2008,05,24,20.5,1,Y
IDCJAC0010,023090,2008,05,25,20.5,1,Y
IDCJAC0010,023090,2008,05,26,18.6,1,Y
IDCJAC0010,023090,2008,05,27,18.4,1,Y
IDCJAC0010,023090,2008,05,28,18.8,1,Y
IDCJAC0010,023090,2008,05,29,20.4,1,Y
IDCJAC0010,023090,2008,05,30,21.0,1,Y
IDCJAC0010,023090,2008,05,31,21.1,1,Y
IDCJAC0010,023090,2008,06,01,22.0,1,Y
IDCJAC0010,023090,2008,06,02,20.2,1,Y
IDCJAC0010,023090,2008,06,03,18.9,1,Y
IDCJAC0010,023090,2008,06,04,18.0,1,Y
IDCJAC0010,023090,2008,06,05,18.1,1,Y
IDCJAC0010,023090,2008,06,06,17.7,1,Y
IDCJAC0010,023090,2008,06,07,16.2,1,Y
IDCJAC0010,023090,2008,06,08,15.1,1,Y
IDCJAC0010,023090,2008,06,09,17.4,1,Y
IDCJAC0010,023090,2008,06,10,17.1,1,Y
IDCJAC0010,023090,2008,06,11,18.0,1,Y
IDCJAC0010,023090,2008,06,12,17.2,1,Y
IDCJAC0010,023090,2008,06,13,15.1,1,Y
IDCJAC0010,023090,2008,06,14,13.9,1,Y
IDCJAC0010,023090,2008,06,15,16.9,1,Y
IDCJAC0010,023090,2008,06,16,18.3,1,Y
IDCJAC0010,023090,2008,06,17,18.1,1,Y
IDCJAC0010,023090,2008,06,18,17.9,1,Y
IDCJAC0010,023090,2008,06,19,15.0,1,Y
IDCJAC0010,023090,2008,06,20,15.8,1,Y
IDCJAC0010,023090,2008,06,21,16.3,1,Y
IDCJAC0010,023090,2008,06,22,15.2,1,Y
IDCJAC0010,023090,2008,06,23,15.5,1,Y
IDCJAC0010,023090,2008,06,24,15.5,1,Y
IDCJAC0010,023090,2008,06,25,17.3,1,Y
IDCJAC0010,023090,2008,06,26,15.9,1,Y
IDCJAC0010,023090,2008,06,27,16.0,1,Y
IDCJAC0010,023090,2008,06,28,17.6,1,Y
IDCJAC0010,023090,2008,06,29,17.4,1,Y
IDCJAC0010,023090,2008,06,30,15.5,1,Y
IDCJAC0010,023090,2008,07,01,15.7,1,Y
IDCJAC0010,023090,2008,07,02,15.8,1,Y
IDCJAC0010,023090,2008,07,03,15.1,1,Y
IDCJAC0010,023090,2008,07,04,15.9,1,Y
IDCJAC0010,023090,2008,07,05,15.4,1,Y
IDCJAC0010,023090,2008,07,06,15.7,1,Y
IDCJAC0010,023090,2008,07,07,11.2,1,Y
