Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,009225,2008,01,01,33.0,1,Y
IDCJAC0010,009225,2008,01,02,37.4,1,Y
IDCJAC0010,009225,2008,01,03,41.9,1,Y
IDCJAC0010,009225,2008,01,04,30.0,1,Y
IDCJAC0010,009225,2008,01,05,27.8,1,Y
IDCJAC0010,009225,2008,01,06,30.9,1,Y
IDCJAC0010,009225,2008,01,07,39.2,1,Y
IDCJAC0010,009225,2008,01,08,34.9,1,Y
IDCJAC0010,009225,2008,01,09,25.4,1,Y
IDCJAC0010,009225,2008,01,10,24.3,1,Y
IDCJAC0010,009225,2008,01,11,26.3,1,Y
IDCJAC0010,009225,2008,01,12,26.7,1,Y
IDCJAC0010,009225,2008,01,13,32.9,1,Y
IDCJAC0010,009225,2008,01,14,30.5,1,Y
IDCJAC0010,009225,2008,01,15,34.0,1,Y
IDCJAC0010,009225,2008,01,16,37.2,1,Y
IDCJAC0010,009225,2008,01,17,41.3,1,Y
IDCJAC0010,009225,2008,01,18,26.3,1,Y
IDCJAC0010,009225,2008,01,19,30.8,1,Y
IDCJAC0010,009225,2008,01,20,32.4,1,Y
IDCJAC0010,009225,2008,01,21,32.4,1,Y
IDCJAC0010,009225,2008,01,22,34.6,1,Y
IDCJAC0010,009225,2008,01,23,35.9,1,Y
IDCJAC0010,009225,2008,01,24,38.5,1,Y
IDCJAC0010,009225,2008,01,25,37.3,1,Y
IDCJAC0010,009225,2008,01,26,33.6,1,Y
IDCJAC0010,009225,2008,01,27,33.3,1,Y
IDCJAC0010,009225,2008,01,28,30.3,1,Y
IDCJAC0010,009225,2008,01,29,31.6,1,Y
IDCJAC0010,009225,2008,01,30,32.5,1,Y
IDCJAC0010,009225,2008,01,31,32.7,1,Y
IDCJAC0010,009225,2008,02,01,35.4,1,Y
IDCJAC0010,009225,2008,02,02,37.3,1,Y
IDCJAC0010,009225,2008,02,03,36.9,1,Y
IDCJAC0010,009225,2008,02,04,36.1,1,Y
IDCJAC0010,009225,2008,02,05,35.9,1,Y
IDCJAC0010,009225,2008,02,06,35.2,1,Y
IDCJAC0010,009225,2008,02,07,22.1,1,Y
IDCJAC0010,009225,2008,02,08,30.3,1,Y
IDCJAC0010,009225,2008,02,09,30.0,1,Y
IDCJAC0010,009225,2008,02,10,35.3,1,Y
IDCJAC0010,009225,2008,02,11,37.2,1,Y
IDCJAC0010,009225,2008,02,12,36.8,1,Y
IDCJAC0010,009225,2008,02,13,36.9,1,Y
IDCJAC0010,009225,2008,02,14,30.5,1,Y
IDCJAC0010,009225,2008,02,15,26.9,1,Y
IDCJAC0010,009225,2008,02,16,27.6,1,Y
IDCJAC0010,009225,2008,02,17,27.7,1,Y
IDCJAC0010,009225,2008,02,18,25.8,1,Y
IDCJAC0010,009225,2008,02,19,27.5,1,Y
IDCJAC0010,009225,2008,02,20,26.1,1,Y
IDCJAC0010,009225,2008,02,21,28.9,1,Y
IDCJAC0010,009225,2008,02,22,27.6,1,Y
IDCJAC0010,009225,2008,02,23,29.7,1,Y
IDCJAC0010,009225,2008,02,24,33.1,1,Y
IDCJAC0010,009225,2008,02,25,35.5,1,Y
IDCJAC0010,009225,2008,02,26,37.0,1,Y
IDCJAC0010,009225,2008,02,27,37.8,1,Y
IDCJAC0010,009225,2008,02,28,41.5,1,Y
IDCJAC0010,009225,2008,02,29,32.5,1,Y
IDCJAC0010,009225,2008,03,01,29.3,1,Y
IDCJAC0010,009225,2008,03,02,29.6,1,Y
IDCJAC0010,009225,2008,03,03,32.5,1,Y
IDCJAC0010,009225,2008,03,04,31.6,1,Y
IDCJAC0010,009225,2008,03,05,32.7,1,Y
IDCJAC0010,009225,2008,03,06,30.9,1,Y
