Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086038,2008,01,01,41.2,1,Y
IDCJAC0010,086038,2008,01,02,23.1,1,Y
IDCJAC0010,086038,2008,01,03,31.5,1,Y
IDCJAC0010,086038,2008,01,04,35.3,1,Y
IDCJAC0010,086038,2008,01,05,37.1,1,Y
IDCJAC0010,086038,2008,01,06,24.3,1,Y
IDCJAC0010,086038,2008,01,07,23.1,1,Y
IDCJAC0010,086038,2008,01,08,23.4,1,Y
IDCJAC0010,086038,2008,01,09,26.6,1,Y
IDCJAC0010,086038,2008,01,10,40.8,1,Y
IDCJAC0010,086038,2008,01,11,37.8,1,Y
IDCJAC0010,086038,2008,01,12,25.6,1,Y
IDCJAC0010,086038,2008,01,13,25.4,1,Y
IDCJAC0010,086038,2008,01,14,21.9,1,Y
IDCJAC0010,086038,2008,01,15,30.1,1,Y
IDCJAC0010,086038,2008,01,16,23.8,1,Y
IDCJAC0010,086038,2008,01,17,23.5,1,Y
IDCJAC0010,086038,2008,01,18,31.0,1,Y
IDCJAC0010,086038,2008,01,19,22.3,1,Y
IDCJAC0010,086038,2008,01,20,23.4,1,Y
IDCJAC0010,086038,2008,01,21,23.6,1,Y
IDCJAC0010,086038,2008,01,22,24.3,1,Y
IDCJAC0010,086038,2008,01,23,26.9,1,Y
IDCJAC0010,086038,2008,01,24,25.9,1,Y
IDCJAC0010,086038,2008,01,25,30.7,1,Y
IDCJAC0010,086038,2008,01,26,35.7,1,Y
IDCJAC0010,086038,2008,01,27,27.7,1,Y
IDCJAC0010,086038,2008,01,28,27.7,1,Y
IDCJAC0010,086038,2008,01,29,26.5,1,Y
IDCJAC0010,086038,2008,01,30,27.4,1,Y
IDCJAC0010,086038,2008,01,31,20.2,1,Y
IDCJAC0010,086038,2008,02,01,24.6,1,Y
IDCJAC0010,086038,2008,02,02,26.2,1,Y
IDCJAC0010,086038,2008,02,03,26.8,1,Y
IDCJAC0010,086038,2008,02,04,32.8,1,Y
IDCJAC0010,086038,2008,02,05,25.2,1,Y
IDCJAC0010,086038,2008,02,06,26.1,1,Y
IDCJAC0010,086038,2008,02,07,19.9,1,Y
IDCJAC0010,086038,2008,02,08,19.5,1,Y
IDCJAC0010,086038,2008,02,09,19.8,1,Y
IDCJAC0010,086038,2008,02,10,21.8,1,Y
IDCJAC0010,086038,2008,02,11,26.9,1,Y
IDCJAC0010,086038,2008,02,12,23.0,1,Y
IDCJAC0010,086038,2008,02,13,19.4,1,Y
IDCJAC0010,086038,2008,02,14,22.1,1,Y
IDCJAC0010,086038,2008,02,15,25.5,1,Y
IDCJAC0010,086038,2008,02,16,29.2,1,Y
IDCJAC0010,086038,2008,02,17,34.4,1,Y
IDCJAC0010,086038,2008,02,18,33.6,1,Y
IDCJAC0010,086038,2008,02,19,35.1,1,Y
IDCJAC0010,086038,2008,02,20,19.6,1,Y
IDCJAC0010,086038,2008,02,21,27.6,1,Y
IDCJAC0010,086038,2008,02,22,26.0,1,Y
IDCJAC0010,086038,2008,02,23,21.2,1,Y
IDCJAC0010,086038,2008,02,24,20.8,1,Y
IDCJAC0010,086038,2008,02,25,21.2,1,Y
IDCJAC0010,086038,2008,02,26,22.9,1,Y
IDCJAC0010,086038,2008,02,27,22.9,1,Y
IDCJAC0010,086038,2008,02,28,18.1,1,Y
IDCJAC0010,086038,2008,02,29,19.5,1,Y
IDCJAC0010,086038,2008,03,01,21.5,1,Y
IDCJAC0010,086038,2008,03,02,29.6,1,Y
IDCJAC0010,086038,2008,03,03,33.2,1,Y
IDCJAC0010,086038,2008,03,04,23.8,1,Y
IDCJAC0010,086038,2008,03,05,29.2,1,Y
IDCJAC0010,086038,2008,03,06,22.9,1,Y
IDCJAC0010,086038,2008,03,07,24.6,1,Y
IDCJAC0010,086038,2008,03,08,33.1,1,Y
IDCJAC0010,086038,2008,03,09,34.6,1,Y
IDCJAC0010,086038,2008,03,10,38.7,1,Y
IDCJAC0010,086038,2008,03,11,22.0,1,Y
IDCJAC0010,086038,2008,03,12,27.3,1,Y
IDCJAC0010,086038,2008,03,13,38.5,1,Y
IDCJAC0010,086038,2008,03,14,39.5,1,Y
IDCJAC0010,086038,2008,03,15,30.9,1,Y
IDCJAC0010,086038,2008,03,16,39.8,1,Y
IDCJAC0010,086038,2008,03,17,38.9,1,Y
IDCJAC0010,086038,2008,03,18,30.8,1,Y
IDCJAC0010,086038,2008,03,19,23.5,1,Y
IDCJAC0010,086038,2008,03,20,24.2,1,Y
IDCJAC0010,086038,2008,03,21,19.3,1,Y
IDCJAC0010,086038,2008,03,22,25.5,1,Y
IDCJAC0010,086038,2008,03,23,28.1,1,Y
IDCJAC0010,086038,2008,03,24,29.3,1,Y
IDCJAC0010,086038,2008,03,25,25.3,1,Y
IDCJAC0010,086038,2008,03,26,18.9,1,Y
IDCJAC0010,086038,2008,03,27,15.3,1,Y
IDCJAC0010,086038,2008,03,28,17.5,1,Y
IDCJAC0010,086038,2008,03,29,17.3,1,Y
IDCJAC0010,086038,2008,03,30,20.6,1,Y
IDCJAC0010,086038,2008,03,31,19.9,1,Y
IDCJAC0010,086038,2008,04,01,25.2,1,Y
IDCJAC0010,086038,2008,04,02,24.1,1,Y
IDCJAC0010,086038,2008,04,03,17.2,1,Y
IDCJAC0010,086038,2008,04,04,18.5,1,Y
IDCJAC0010,086038,2008,04,05,19.7,1,Y
IDCJAC0010,086038,2008,04,06,20.0,1,Y
IDCJAC0010,086038,2008,04,07,24.5,1,Y
IDCJAC0010,086038,2008,04,08,26.6,1,Y
IDCJAC0010,086038,2008,04,09,24.3,1,Y
IDCJAC0010,086038,2008,04,10,26.8,1,Y
IDCJAC0010,086038,2008,04,11,27.5,1,Y
IDCJAC0010,086038,2008,04,12,23.2,1,Y
IDCJAC0010,086038,2008,04,13,17.3,1,Y
IDCJAC0010,086038,2008,04,14,19.1,1,Y
IDCJAC0010,086038,2008,04,15,18.7,1,Y
IDCJAC0010,086038,2008,04,16,18.8,1,Y
IDCJAC0010,086038,2008,04,17,17.4,1,Y
IDCJAC0010,086038,2008,04,18,19.5,1,Y
IDCJAC0010,086038,2008,04,19,24.4,1,Y
IDCJAC0010,086038,2008,04,20,21.6,1,Y
IDCJAC0010,086038,2008,04,21,17.9,1,Y
