Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014015,2008,01,01,32.2,1,Y
IDCJAC0010,014015,2008,01,02,31.0,1,Y
IDCJAC0010,014015,2008,01,03,30.3,1,Y
IDCJAC0010,014015,2008,01,04,28.8,1,Y
IDCJAC0010,014015,2008,01,05,32.1,1,Y
IDCJAC0010,014015,2008,01,06,32.6,1,Y
IDCJAC0010,014015,2008,01,07,32.7,1,Y
IDCJAC0010,014015,2008,01,08,32.7,1,Y
IDCJAC0010,014015,2008,01,09,31.1,1,Y
IDCJAC0010,014015,2008,01,10,31.8,1,Y
IDCJAC0010,014015,2008,01,11,31.9,1,Y
IDCJAC0010,014015,2008,01,12,32.4,1,Y
IDCJAC0010,014015,2008,01,13,28.4,1,Y
IDCJAC0010,014015,2008,01,14,30.8,1,Y
IDCJAC0010,014015,2008,01,15,32.0,1,Y
IDCJAC0010,014015,2008,01,16,32.8,1,Y
IDCJAC0010,014015,2008,01,17,33.0,1,Y
IDCJAC0010,014015,2008,01,18,33.3,1,Y
IDCJAC0010,014015,2008,01,19,30.6,1,Y
IDCJAC0010,014015,2008,01,20,32.9,1,Y
IDCJAC0010,014015,2008,01,21,33.2,1,Y
IDCJAC0010,014015,2008,01,22,33.2,1,Y
IDCJAC0010,014015,2008,01,23,32.5,1,Y
IDCJAC0010,014015,2008,01,24,33.9,1,Y
IDCJAC0010,014015,2008,01,25,32.9,1,Y
IDCJAC0010,014015,2008,01,26,33.1,1,Y
IDCJAC0010,014015,2008,01,27,32.9,1,Y
IDCJAC0010,014015,2008,01,28,32.8,1,Y
IDCJAC0010,014015,2008,01,29,32.8,1,Y
IDCJAC0010,014015,2008,01,30,33.0,1,Y
IDCJAC0010,014015,2008,01,31,34.0,1,Y
IDCJAC0010,014015,2008,02,01,34.0,1,Y
IDCJAC0010,014015,2008,02,02,34.0,1,Y
IDCJAC0010,014015,2008,02,03,33.2,1,Y
IDCJAC0010,014015,2008,02,04,32.3,1,Y
IDCJAC0010,014015,2008,02,05,32.4,1,Y
IDCJAC0010,014015,2008,02,06,33.1,1,Y
IDCJAC0010,014015,2008,02,07,32.2,1,Y
IDCJAC0010,014015,2008,02,08,30.7,1,Y
IDCJAC0010,014015,2008,02,09,30.6,1,Y
IDCJAC0010,014015,2008,02,10,28.5,1,Y
IDCJAC0010,014015,2008,02,11,31.3,1,Y
IDCJAC0010,014015,2008,02,12,29.6,1,Y
IDCJAC0010,014015,2008,02,13,28.6,1,Y
IDCJAC0010,014015,2008,02,14,29.7,1,Y
IDCJAC0010,014015,2008,02,15,32.1,1,Y
IDCJAC0010,014015,2008,02,16,30.8,1,Y
IDCJAC0010,014015,2008,02,17,29.4,1,Y
IDCJAC0010,014015,2008,02,18,28.4,1,Y
IDCJAC0010,014015,2008,02,19,25.9,1,Y
IDCJAC0010,014015,2008,02,20,30.0,1,Y
IDCJAC0010,014015,2008,02,21,30.4,1,Y
IDCJAC0010,014015,2008,02,22,30.8,1,Y
IDCJAC0010,014015,2008,02,23,31.0,1,Y
IDCJAC0010,014015,2008,02,24,31.1,1,Y
IDCJAC0010,014015,2008,02,25,29.1,1,Y
IDCJAC0010,014015,2008,02,26,30.8,1,Y
IDCJAC0010,014015,2008,02,27,31.2,1,Y
IDCJAC0010,014015,2008,02,28,31.2,1,Y
IDCJAC0010,014015,2008,02,29,31.0,1,Y
IDCJAC0010,014015,2008,03,01,31.5,1,Y
IDCJAC0010,014015,2008,03,02,32.7,1,Y
IDCJAC0010,014015,2008,03,03,32.2,1,Y
IDCJAC0010,014015,2008,03,04,31.9,1,Y
IDCJAC0010,014015,2008,03,05,32.9,1,Y
IDCJAC0010,014015,2008,03,06,32.9,1,Y
IDCJAC0010,014015,2008,03,07,31.8,1,Y
IDCJAC0010,014015,2008,03,08,30.1,1,Y
IDCJAC0010,014015,2008,03,09,31.2,1,Y
IDCJAC0010,014015,2008,03,10,32.1,1,Y
IDCJAC0010,014015,2008,03,11,31.4,1,Y
IDCJAC0010,014015,2008,03,12,31.0,1,Y
IDCJAC0010,014015,2008,03,13,33.1,1,Y
IDCJAC0010,014015,2008,03,14,32.0,1,Y
IDCJAC0010,014015,2008,03,15,32.4,1,Y
IDCJAC0010,014015,2008,03,16,32.2,1,Y
IDCJAC0010,014015,2008,03,17,32.6,1,Y
IDCJAC0010,014015,2008,03,18,32.3,1,Y
IDCJAC0010,014015,2008,03,19,32.8,1,Y
IDCJAC0010,014015,2008,03,20,33.5,1,Y
IDCJAC0010,014015,2008,03,21,32.6,1,Y
IDCJAC0010,014015,2008,03,22,33.2,1,Y
IDCJAC0010,014015,2008,03,23,32.8,1,Y
IDCJAC0010,014015,2008,03,24,32.3,1,Y
