Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,014015,2018,01,01,34.6,1,N
IDCJAC0010,014015,2018,01,02,34.1,1,N
IDCJAC0010,014015,2018,01,03,33.4,1,N
IDCJAC0010,014015,2018,01,04,34.3,1,N
IDCJAC0010,014015,2018,01,05,34.0,1,N
IDCJAC0010,014015,2018,01,06,32.3,1,N
IDCJAC0010,014015,2018,01,07,28.1,1,N
IDCJAC0010,014015,2018,01,08,32.3,1,N
IDCJAC0010,014015,2018,01,09,33.0,1,N
IDCJAC0010,014015,2018,01,10,32.0,1,N
IDCJAC0010,014015,2018,01,11,33.5,1,N
IDCJAC0010,014015,2018,01,12,33.3,1,N
IDCJAC0010,014015,2018,01,13,31.9,1,N
IDCJAC0010,014015,2018,01,14,34.5,1,N
IDCJAC0010,014015,2018,01,15,33.6,1,N
IDCJAC0010,014015,2018,01,16,33.4,1,N
IDCJAC0010,014015,2018,01,17,32.2,1,N
IDCJAC0010,014015,2018,01,18,31.4,1,N
IDCJAC0010,014015,2018,01,19,32.7,1,N
IDCJAC0010,014015,2018,01,20,30.5,1,N
IDCJAC0010,014015,2018,01,21,29.8,1,N
IDCJAC0010,014015,2018,01,22,30.0,1,N
IDCJAC0010,014015,2018,01,23,31.6,1,N
IDCJAC0010,014015,2018,01,24,31.4,1,N
IDCJAC0010,014015,2018,01,25,29.1,1,N
IDCJAC0010,014015,2018,01,26,30.5,1,N
IDCJAC0010,014015,2018,01,27,27.2,1,N
IDCJAC0010,014015,2018,01,28,29.7,1,N
IDCJAC0010,014015,2018,01,29,28.0,1,N
IDCJAC0010,014015,2018,01,30,30.8,1,N
IDCJAC0010,014015,2018,01,31,32.1,1,N
IDCJAC0010,014015,2018,02,01,32.2,1,N
IDCJAC0010,014015,2018,02,02,32.4,1,N
IDCJAC0010,014015,2018,02,03,29.7,1,N
IDCJAC0010,014015,2018,02,04,32.9,1,N
IDCJAC0010,014015,2018,02,05,31.0,1,N
IDCJAC0010,014015,2018,02,06,30.4,1,N
IDCJAC0010,014015,2018,02,07,32.7,1,N
IDCJAC0010,014015,2018,02,08,32.5,1,N
IDCJAC0010,014015,2018,02,09,31.6,1,N
IDCJAC0010,014015,2018,02,10,31.3,1,N
IDCJAC0010,014015,2018,02,11,30.6,1,N
IDCJAC0010,014015,2018,02,12,32.0,1,N
IDCJAC0010,014015,2018,02,13,30.5,1,N
IDCJAC0010,014015,2018,02,14,30.6,1,N
IDCJAC0010,014015,2018,02,15,30.8,1,N
IDCJAC0010,014015,2018,02,16,30.3,1,N
IDCJAC0010,014015,2018,02,17,29.4,1,N
IDCJAC0010,014015,2018,02,18,31.7,1,N
IDCJAC0010,014015,2018,02,19,32.8,1,N
IDCJAC0010,014015,2018,02,20,29.7,1,N
IDCJAC0010,014015,2018,02,21,32.2,1,N
IDCJAC0010,014015,2018,02,22,32.5,1,N
IDCJAC0010,014015,2018,02,23,32.8,1,N
IDCJAC0010,014015,2018,02,24,30.0,1,N
IDCJAC0010,014015,2018,02,25,32.6,1,N
IDCJAC0010,014015,2018,02,26,32.7,1,N
IDCJAC0010,014015,2018,02,27,32.2,1,N
IDCJAC0010,014015,2018,02,28,33.4,1,N
IDCJAC0010,014015,2018,03,01,31.8,1,N
IDCJAC0010,014015,2018,03,02,33.2,1,N
IDCJAC0010,014015,2018,03,03,32.5,1,N
IDCJAC0010,014015,2018,03,04,31.4,1,N
IDCJAC0010,014015,2018,03,05,32.5,1,N
IDCJAC0010,014015,2018,03,06,33.3,1,N
IDCJAC0010,014015,2018,03,07,33.7,1,N
IDCJAC0010,014015,2018,03,08,32.7,1,N
IDCJAC0010,014015,2018,03,09,33.4,1,N
IDCJAC0010,014015,2018,03,10,33.2,1,N
IDCJAC0010,014015,2018,03,11,33.4,1,N
IDCJAC0010,014015,2018,03,12,30.8,1,N
IDCJAC0010,014015,2018,03,13,31.3,1,N
IDCJAC0010,014015,2018,03,14,31.7,1,N
IDCJAC0010,014015,2018,03,15,33.1,1,N
IDCJAC0010,014015,2018,03,16,31.4,1,N
IDCJAC0010,014015,2018,03,17,27.6,1,N
IDCJAC0010,014015,2018,03,18,32.7,1,N
IDCJAC0010,014015,2018,03,19,33.0,1,N
IDCJAC0010,014015,2018,03,20,32.4,1,N
IDCJAC0010,014015,2018,03,21,33.4,1,N
IDCJAC0010,014015,2018,03,22,34.7,1,N
IDCJAC0010,014015,2018,03,23,34.4,1,N
IDCJAC0010,014015,2018,03,24,32.9,1,N
IDCJAC0010,014015,2018,03,25,33.6,1,N
IDCJAC0010,014015,2018,03,26,33.8,1,N
IDCJAC0010,014015,2018,03,27,34.3,1,N
IDCJAC0010,014015,2018,03,28,32.5,1,N
