Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,040842,2018,01,01,30.8,1,N
IDCJAC0010,040842,2018,01,02,30.3,1,N
IDCJAC0010,040842,2018,01,03,29.6,1,N
IDCJAC0010,040842,2018,01,04,29.0,1,N
IDCJAC0010,040842,2018,01,05,29.0,1,N
IDCJAC0010,040842,2018,01,06,29.7,1,N
IDCJAC0010,040842,2018,01,07,30.0,1,N
IDCJAC0010,040842,2018,01,08,31.0,1,N
IDCJAC0010,040842,2018,01,09,31.0,1,N
IDCJAC0010,040842,2018,01,10,31.4,1,N
IDCJAC0010,040842,2018,01,11,30.1,1,N
IDCJAC0010,040842,2018,01,12,30.9,1,N
IDCJAC0010,040842,2018,01,13,33.6,1,N
IDCJAC0010,040842,2018,01,14,38.1,1,N
IDCJAC0010,040842,2018,01,15,28.1,1,N
IDCJAC0010,040842,2018,01,16,29.4,1,N
IDCJAC0010,040842,2018,01,17,27.8,1,N
IDCJAC0010,040842,2018,01,18,28.8,1,N
IDCJAC0010,040842,2018,01,19,29.7,1,N
IDCJAC0010,040842,2018,01,20,29.9,1,N
IDCJAC0010,040842,2018,01,21,29.1,1,N
IDCJAC0010,040842,2018,01,22,29.7,1,N
IDCJAC0010,040842,2018,01,23,31.1,1,N
IDCJAC0010,040842,2018,01,24,31.0,1,N
IDCJAC0010,040842,2018,01,25,30.4,1,N
IDCJAC0010,040842,2018,01,26,31.2,1,N
IDCJAC0010,040842,2018,01,27,31.3,1,N
IDCJAC0010,040842,2018,01,28,30.5,1,N
IDCJAC0010,040842,2018,01,29,29.6,1,N
IDCJAC0010,040842,2018,01,30,31.2,1,N
IDCJAC0010,040842,2018,01,31,33.2,1,N
IDCJAC0010,040842,2018,02,01,25.6,1,N
IDCJAC0010,040842,2018,02,02,21.7,1,N
IDCJAC0010,040842,2018,02,03,23.2,1,N
IDCJAC0010,040842,2018,02,04,27.4,1,N
IDCJAC0010,040842,2018,02,05,28.0,1,N
IDCJAC0010,040842,2018,02,06,28.0,1,N
IDCJAC0010,040842,2018,02,07,28.2,1,N
IDCJAC0010,040842,2018,02,08,28.2,1,N
IDCJAC0010,040842,2018,02,09,29.1,1,N
IDCJAC0010,040842,2018,02,10,30.3,1,N
IDCJAC0010,040842,2018,02,11,31.6,1,N
IDCJAC0010,040842,2018,02,12,30.8,1,N
IDCJAC0010,040842,2018,02,13,31.2,1,N
IDCJAC0010,040842,2018,02,14,31.3,1,N
IDCJAC0010,040842,2018,02,15,32.1,1,N
IDCJAC0010,040842,2018,02,16,31.2,1,N
IDCJAC0010,040842,2018,02,17,30.0,1,N
IDCJAC0010,040842,2018,02,18,30.8,1,N
IDCJAC0010,040842,2018,02,19,31.2,1,N
IDCJAC0010,040842,2018,02,20,30.1,1,N
IDCJAC0010,040842,2018,02,21,26.7,1,N
IDCJAC0010,040842,2018,02,22,26.1,1,N
IDCJAC0010,040842,2018,02,23,25.8,1,N
IDCJAC0010,040842,2018,02,24,27.6,1,N
IDCJAC0010,040842,2018,02,25,30.0,1,N
IDCJAC0010,040842,2018,02,26,30.4,1,N
IDCJAC0010,040842,2018,02,27,27.6,1,N
IDCJAC0010,040842,2018,02,28,27.7,1,N
IDCJAC0010,040842,2018,03,01,31.0,1,N
IDCJAC0010,040842,2018,03,02,28.5,1,N
IDCJAC0010,040842,2018,03,03,29.6,1,N
IDCJAC0010,040842,2018,03,04,32.0,1,N
IDCJAC0010,040842,2018,03,05,28.0,1,N
IDCJAC0010,040842,2018,03,06,23.9,1,N
IDCJAC0010,040842,2018,03,07,25.8,1,N
IDCJAC0010,040842,2018,03,08,25.6,1,N
IDCJAC0010,040842,2018,03,09,26.8,1,N
IDCJAC0010,040842,2018,03,10,26.5,1,N
IDCJAC0010,040842,2018,03,11,24.2,1,N
IDCJAC0010,040842,2018,03,12,27.1,1,N
IDCJAC0010,040842,2018,03,13,26.8,1,N
IDCJAC0010,040842,2018,03,14,27.6,1,N
IDCJAC0010,040842,2018,03,15,28.1,1,N
IDCJAC0010,040842,2018,03,16,28.0,1,N
IDCJAC0010,040842,2018,03,17,27.9,1,N
IDCJAC0010,040842,2018,03,18,28.7,1,N
IDCJAC0010,040842,2018,03,19,29.3,1,N
IDCJAC0010,040842,2018,03,20,28.0,1,N
IDCJAC0010,040842,2018,03,21,25.3,1,N
IDCJAC0010,040842,2018,03,22,27.3,1,N
IDCJAC0010,040842,2018,03,23,26.9,1,N
IDCJAC0010,040842,2018,03,24,26.9,1,N
IDCJAC0010,040842,2018,03,25,26.4,1,N
IDCJAC0010,040842,2018,03,26,28.9,1,N
IDCJAC0010,040842,2018,03,27,27.2,1,N
IDCJAC0010,040842,2018,03,28,29.9,1,N
IDCJAC0010,040842,2018,03,29,27.7,1,N
IDCJAC0010,040842,2018,03,30,28.2,1,N
IDCJAC0010,040842,2018,03,31,27.8,1,N
IDCJAC0010,040842,2018,04,01,27.8,1,N
IDCJAC0010,040842,2018,04,02,27.8,1,N
IDCJAC0010,040842,2018,04,03,27.1,1,N
IDCJAC0010,040842,2018,04,04,25.6,1,N
IDCJAC0010,040842,2018,04,05,27.0,1,N
IDCJAC0010,040842,2018,04,06,26.6,1,N
IDCJAC0010,040842,2018,04,07,26.8,1,N
IDCJAC0010,040842,2018,04,08,26.7,1,N
IDCJAC0010,040842,2018,04,09,26.9,1,N
IDCJAC0010,040842,2018,04,10,27.9,1,N
IDCJAC0010,040842,2018,04,11,26.2,1,N
IDCJAC0010,040842,2018,04,12,26.1,1,N
IDCJAC0010,040842,2018,04,13,26.9,1,N
IDCJAC0010,040842,2018,04,14,26.7,1,N
