Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,070339,2008,01,01,34.4,1,Y
IDCJAC0010,070339,2008,01,02,34.9,1,Y
IDCJAC0010,070339,2008,01,03,24.6,1,Y
IDCJAC0010,070339,2008,01,04,26.2,1,Y
IDCJAC0010,070339,2008,01,05,28.0,1,Y
IDCJAC0010,070339,2008,01,06,33.8,1,Y
IDCJAC0010,070339,2008,01,07,33.7,1,Y
IDCJAC0010,070339,2008,01,08,30.6,1,Y
IDCJAC0010,070339,2008,01,09,30.3,1,Y
IDCJAC0010,070339,2008,01,10,34.4,1,Y
IDCJAC0010,070339,2008,01,11,35.3,1,Y
IDCJAC0010,070339,2008,01,12,35.2,1,Y
IDCJAC0010,070339,2008,01,13,33.4,1,Y
IDCJAC0010,070339,2008,01,14,23.9,1,Y
IDCJAC0010,070339,2008,01,15,34.0,1,Y
IDCJAC0010,070339,2008,01,16,33.8,1,Y
IDCJAC0010,070339,2008,01,17,25.4,1,Y
IDCJAC0010,070339,2008,01,18,20.1,1,Y
IDCJAC0010,070339,2008,01,19,18.8,1,Y
IDCJAC0010,070339,2008,01,20,24.3,1,Y
IDCJAC0010,070339,2008,01,21,21.0,1,Y
IDCJAC0010,070339,2008,01,22,22.9,1,Y
IDCJAC0010,070339,2008,01,23,24.5,1,Y
IDCJAC0010,070339,2008,01,24,28.1,1,Y
IDCJAC0010,070339,2008,01,25,26.5,1,Y
IDCJAC0010,070339,2008,01,26,28.4,1,Y
IDCJAC0010,070339,2008,01,27,30.7,1,Y
IDCJAC0010,070339,2008,01,28,32.6,1,Y
IDCJAC0010,070339,2008,01,29,33.5,1,Y
IDCJAC0010,070339,2008,01,30,34.1,1,Y
IDCJAC0010,070339,2008,01,31,28.3,1,Y
IDCJAC0010,070339,2008,02,01,24.5,1,Y
IDCJAC0010,070339,2008,02,02,28.9,1,Y
IDCJAC0010,070339,2008,02,03,29.8,1,Y
IDCJAC0010,070339,2008,02,04,21.5,1,Y
IDCJAC0010,070339,2008,02,05,23.6,1,Y
IDCJAC0010,070339,2008,02,06,26.9,1,Y
IDCJAC0010,070339,2008,02,07,22.9,1,Y
IDCJAC0010,070339,2008,02,08,20.3,1,Y
IDCJAC0010,070339,2008,02,09,21.4,1,Y
IDCJAC0010,070339,2008,02,10,22.3,1,Y
IDCJAC0010,070339,2008,02,11,26.0,1,Y
IDCJAC0010,070339,2008,02,12,22.9,1,Y
IDCJAC0010,070339,2008,02,13,20.2,1,Y
IDCJAC0010,070339,2008,02,14,23.8,1,Y
IDCJAC0010,070339,2008,02,15,25.9,1,Y
IDCJAC0010,070339,2008,02,16,,,
IDCJAC0010,070339,2008,02,17,,,
IDCJAC0010,070339,2008,02,18,25.5,1,N
IDCJAC0010,070339,2008,02,19,27.1,1,Y
IDCJAC0010,070339,2008,02,20,28.7,1,Y
IDCJAC0010,070339,2008,02,21,24.3,1,Y
IDCJAC0010,070339,2008,02,22,28.0,1,Y
IDCJAC0010,070339,2008,02,23,25.0,1,Y
IDCJAC0010,070339,2008,02,24,23.8,1,Y
IDCJAC0010,070339,2008,02,25,25.9,1,Y
IDCJAC0010,070339,2008,02,26,27.4,1,Y
IDCJAC0010,070339,2008,02,27,27.2,1,Y
IDCJAC0010,070339,2008,02,28,18.8,1,Y
IDCJAC0010,070339,2008,02,29,18.8,1,Y
IDCJAC0010,070339,2008,03,01,21.5,1,Y
IDCJAC0010,070339,2008,03,02,25.0,1,Y
IDCJAC0010,070339,2008,03,03,28.0,1,Y
IDCJAC0010,070339,2008,03,04,27.9,1,Y
IDCJAC0010,070339,2008,03,05,27.5,1,Y
IDCJAC0010,070339,2008,03,06,32.3,1,Y
IDCJAC0010,070339,2008,03,07,28.6,1,Y
IDCJAC0010,070339,2008,03,08,27.4,1,Y
IDCJAC0010,070339,2008,03,09,28.6,1,Y
IDCJAC0010,070339,2008,03,10,32.4,1,Y
IDCJAC0010,070339,2008,03,11,34.6,1,Y
IDCJAC0010,070339,2008,03,12,31.3,1,Y
