Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,023090,2018,01,01,25.7,1,N
IDCJAC0010,023090,2018,01,02,24.1,1,N
IDCJAC0010,023090,2018,01,03,25.1,1,N
IDCJAC0010,023090,2018,01,04,32.2,1,N
IDCJAC0010,023090,2018,01,05,38.7,1,N
IDCJAC0010,023090,2018,01,06,42.6,1,N
IDCJAC0010,023090,2018,01,07,32.4,1,N
IDCJAC0010,023090,2018,01,08,27.4,1,N
IDCJAC0010,023090,2018,01,09,27.4,1,N
IDCJAC0010,023090,2018,01,10,29.9,1,N
IDCJAC0010,023090,2018,01,11,37.2,1,N
IDCJAC0010,023090,2018,01,12,23.8,1,N
IDCJAC0010,023090,2018,01,13,22.9,1,N
IDCJAC0010,023090,2018,01,14,26.2,1,N
IDCJAC0010,023090,2018,01,15,30.0,1,N
IDCJAC0010,023090,2018,01,16,32.1,1,N
IDCJAC0010,023090,2018,01,17,39.7,1,N
IDCJAC0010,023090,2018,01,18,42.8,1,N
IDCJAC0010,023090,2018,01,19,43.7,1,N
IDCJAC0010,023090,2018,01,20,39.4,1,N
IDCJAC0010,023090,2018,01,21,39.0,1,N
IDCJAC0010,023090,2018,01,22,32.7,1,N
IDCJAC0010,023090,2018,01,23,31.6,1,N
IDCJAC0010,023090,2018,01,24,33.9,1,N
IDCJAC0010,023090,2018,01,25,36.0,1,N
IDCJAC0010,023090,2018,01,26,34.2,1,N
IDCJAC0010,023090,2018,01,27,39.6,1,N
IDCJAC0010,023090,2018,01,28,44.1,1,N
IDCJAC0010,023090,2018,01,29,29.3,1,N
IDCJAC0010,023090,2018,01,30,22.5,1,N
IDCJAC0010,023090,2018,01,31,22.9,1,N
IDCJAC0010,023090,2018,02,01,25.4,1,N
IDCJAC0010,023090,2018,02,02,30.3,1,N
IDCJAC0010,023090,2018,02,03,33.1,1,N
IDCJAC0010,023090,2018,02,04,35.1,1,N
IDCJAC0010,023090,2018,02,05,37.0,1,N
IDCJAC0010,023090,2018,02,06,35.8,1,N
IDCJAC0010,023090,2018,02,07,40.7,1,N
IDCJAC0010,023090,2018,02,08,40.5,1,N
