Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,094029,2008,01,01,18.0,1,Y
IDCJAC0010,094029,2008,01,02,20.9,1,Y
IDCJAC0010,094029,2008,01,03,21.2,1,Y
IDCJAC0010,094029,2008,01,04,31.0,1,Y
IDCJAC0010,094029,2008,01,05,35.1,1,Y
IDCJAC0010,094029,2008,01,06,25.3,1,Y
IDCJAC0010,094029,2008,01,07,27.3,1,Y
IDCJAC0010,094029,2008,01,08,25.4,1,Y
IDCJAC0010,094029,2008,01,09,21.7,1,Y
IDCJAC0010,094029,2008,01,10,33.7,1,Y
IDCJAC0010,094029,2008,01,11,35.5,1,Y
IDCJAC0010,094029,2008,01,12,27.3,1,Y
IDCJAC0010,094029,2008,01,13,21.3,1,Y
IDCJAC0010,094029,2008,01,14,23.6,1,Y
IDCJAC0010,094029,2008,01,15,23.1,1,Y
IDCJAC0010,094029,2008,01,16,21.5,1,Y
IDCJAC0010,094029,2008,01,17,22.4,1,Y
IDCJAC0010,094029,2008,01,18,25.6,1,Y
IDCJAC0010,094029,2008,01,19,24.7,1,Y
IDCJAC0010,094029,2008,01,20,19.7,1,Y
IDCJAC0010,094029,2008,01,21,15.9,1,Y
IDCJAC0010,094029,2008,01,22,19.9,1,Y
IDCJAC0010,094029,2008,01,23,22.5,1,Y
IDCJAC0010,094029,2008,01,24,20.8,1,Y
IDCJAC0010,094029,2008,01,25,23.4,1,Y
IDCJAC0010,094029,2008,01,26,24.3,1,Y
IDCJAC0010,094029,2008,01,27,27.3,1,Y
IDCJAC0010,094029,2008,01,28,27.6,1,Y
IDCJAC0010,094029,2008,01,29,20.5,1,Y
IDCJAC0010,094029,2008,01,30,20.8,1,Y
IDCJAC0010,094029,2008,01,31,19.4,1,Y
IDCJAC0010,094029,2008,02,01,22.7,1,Y
IDCJAC0010,094029,2008,02,02,28.0,1,Y
IDCJAC0010,094029,2008,02,03,16.8,1,Y
IDCJAC0010,094029,2008,02,04,27.6,1,Y
IDCJAC0010,094029,2008,02,05,23.5,1,Y
IDCJAC0010,094029,2008,02,06,23.0,1,Y
IDCJAC0010,094029,2008,02,07,17.1,1,Y
IDCJAC0010,094029,2008,02,08,17.9,1,Y
IDCJAC0010,094029,2008,02,09,16.6,1,Y
IDCJAC0010,094029,2008,02,10,21.5,1,Y
IDCJAC0010,094029,2008,02,11,25.8,1,Y
IDCJAC0010,094029,2008,02,12,21.7,1,Y
IDCJAC0010,094029,2008,02,13,18.6,1,Y
IDCJAC0010,094029,2008,02,14,21.9,1,Y
IDCJAC0010,094029,2008,02,15,17.7,1,Y
IDCJAC0010,094029,2008,02,16,19.6,1,Y
IDCJAC0010,094029,2008,02,17,21.7,1,Y
IDCJAC0010,094029,2008,02,18,26.6,1,Y
IDCJAC0010,094029,2008,02,19,34.1,1,Y
IDCJAC0010,094029,2008,02,20,20.6,1,Y
IDCJAC0010,094029,2008,02,21,19.8,1,Y
IDCJAC0010,094029,2008,02,22,23.0,1,Y
IDCJAC0010,094029,2008,02,23,19.0,1,Y
IDCJAC0010,094029,2008,02,24,17.5,1,Y
IDCJAC0010,094029,2008,02,25,22.9,1,Y
IDCJAC0010,094029,2008,02,26,17.8,1,Y
IDCJAC0010,094029,2008,02,27,18.8,1,Y
IDCJAC0010,094029,2008,02,28,14.2,1,Y
IDCJAC0010,094029,2008,02,29,15.0,1,Y
IDCJAC0010,094029,2008,03,01,17.1,1,Y
IDCJAC0010,094029,2008,03,02,19.7,1,Y
IDCJAC0010,094029,2008,03,03,25.6,1,Y
IDCJAC0010,094029,2008,03,04,17.9,1,Y
IDCJAC0010,094029,2008,03,05,23.6,1,Y
IDCJAC0010,094029,2008,03,06,23.8,1,Y
IDCJAC0010,094029,2008,03,07,21.0,1,Y
IDCJAC0010,094029,2008,03,08,19.3,1,Y
